# 0300 - 0322 Combining Diacritical Marks
#
#
#
0301		0300		h
#
#
#
030F		030B		h
#
#
#
0316		0301		v
0317		0316		h		
#
#
#
0323		0307		v
0324		0308		v
#
#
#
032C		0302		v
032D		030C		v
#
#
#
0331		0304		v
#
#
#
# 0000 - 007F Basic Latin
#
#
#
005E	^	0302		n
#
#
#
0060	`	0300		n
0061	a	0041	A	n
0062	b	0042	B	n
0063	c	0043	C	n
0064	d	0044	D	n
0065	e	0045	E	n
0066	f	0046	F	n
0067	g	0047	G	n
0068	h	0048	H	n
0069	i	0049	I	n
006A	j	004A	J	n
006B	k	004B	K	n
006C	l	004C	L	n
006D	m	004D	M	n
006E	n	004E	N	n
006F	o	004F	O	n
0070	p	0050	P	n
0071	q	0051	Q	n
0072	r	0052	R	n
#0073	s	0053	S	n
0074	t	0054	T	n
0075	u	0055	U	n
0076	v	0056	V	n
0077	w	0057	W	n
0078	x	0058	X	n
0079	y	0059	Y	n
007A	z	005A	Z	n
# 0080 - 00FF Latin-1 Supplement
00A0		0020		n
00A1	¡	0021	!	v
#
#
#
00A8	¨	0308		n
#
#
#
00AF	¯	0304		n
#
#
#
00B4	´	0301		n
#
#
#
00B8	¸	0327		n
#
#
#
00C4	Ä	0041	A	n
00C4	Ä	0308		n
#
#
#
00CB	Ë	0045	E	n
00CB	Ë	0308		n
#
#
#
00CF	Ï	0049	I	n
00CF	Ï	0308		n
#
#
#
00D6	Ö	004F	O	n
00D6	Ö	0308		n
#
#
#
00DC	Ü	0055	U	n
00DC	Ü	0308		n
#
#
#
00E4	ä	00C4	Ä	n
#
#
#
00EB	ë	00CB	Ë	n
#
#
#
00EF	ï	00CF	Ï	n
#
#
#
00F6	ö	00D6	Ö	n
#
#
#
00FC	ü	00DC	Ü	n
#
#
#
#00FF	ÿ	0178	Ÿ	n
#
#
#
# 0100 - 017F Latin Extended-A
0100	Ā	0041	A	n
0100	Ā	0304		n
0101	ā	0100	Ā	n
#
#
#
0106	Ć	0043	C	n
0106	Ć	0301		n
0107	ć	0106	Ć	n
0108	Ĉ	0043	C	n
0108	Ĉ	0302		n
0109	ĉ	108	Ĉ	n
010A	Ċ	0043	C	n
010A	Ċ	0307		n
010B	ċ	010A	Ċ	n
010C	Č	0043	C	n
010C	Č	030C		n
010D	č	010C	Č	n
010E	Ď	0044	D	n
010E	Ď	030C		n
#
#
#
0112	Ē	0045	E	n
0112	Ē	0304		n
0113	ē	0112	Ē	n
#
#
#
0116	Ė	0045	E	n
0116	Ė	0307		n
0117	ė	0116	ė	n
#
#
#
011A	Ě	0045	E	n
011A	Ě	030C		n
011B	ě	011A	Ě	n
011C	Ĝ	0047	G	n
011C	Ĝ	0302		n
011D	ĝ	011C	Ĝ	n
#
#
#
0120	Ġ	0047		n
0120	Ġ	0307		n
0121	ġ	0120	Ġ	n
#
#
#
012A	Ī	0049	I	n
012A	Ī	0304		n
012B	ī	012A	Ī	n
#
#
#
0130	İ	0049	I	n
0130	İ	0307		n
#
#
#
0133	ĳ	0132	Ĳ	n
#
#
#
0138	ĸ	004B	K	n
#
#
#
014C	Ō	004F	O	n
014C	Ō	0304		n
014D	ō	014C	Ō	n
#
#
#
016A	Ū	0055	U	n
016A	Ū	0304		n
016B	ū	016A	Ū	n
#
#
#
0178	Ÿ	0059	Y	n
0178	Ÿ	0308		n
#
#
#
017B	Ż	005A	Z	n
017B	Ż	0307		n
017C	ż	017B	Ż	n
#
#
#
# Postponed References
00FF	ÿ	0178	Ÿ	n
# 1E00 - 1EFF Latin Extended Additional
#
#
#
1E02	Ḃ	0042	B	n
1E02	Ḃ	0307		n
1E03	ḃ	1E02	Ḃ	n
1E04	Ḅ	0042	B	n
1E04	Ḅ	0323		n
1E05	ḅ	1E04	Ḅ	n
1E06	Ḇ	0042	B	n
1E06	Ḇ	0331		n
1E07	ḇ	1E06	Ḇ	n
#
#
#
1E0A	Ḋ	0044	D	n
1E0A	Ḋ	0307		n
1E0B	ḋ	1E0A	Ḋ	n
1E0C	Ḍ	0044	D	n
1E0C	Ḍ	0323		n
1E0D	ḍ	1E0C	Ḍ	n
1E0E	Ḏ	0044	D	n
1E0E	Ḏ	0331		n
1E0F	ḏ	1E0E	Ḏ	n
#
#
#
1E1E	Ḟ	0046	F	n
1E1E	Ḟ	0307		n
1E1F	ḟ	1E1E	Ḟ	n
1E20	Ḡ	0047	G	n
1E20	Ḡ	0304		n
1E21	ḡ	1E20	Ḡ	n
1E22	Ḣ	0048	H	n
1E22	Ḣ	0307		n
1E23	ḣ	1E22	Ḣ	n
1E24	Ḥ	0048	H	n
1E24	Ḥ	0323		n
1E25	ḥ	1E24	Ḥ	n
1E26	Ḧ	0048	H	n
1E26	Ḧ	0308		n
1E27	ḧ	1E26	Ḧ	n
#
#
#
1E32	Ḳ	004B	K	n
1E32	Ḳ	0323		n
1E33	ḳ	1E32	Ḳ	n
1E34	Ḵ	004B	K	n
1E34	Ḵ	0331		n
1E35	ḵ	1E34	Ḵ	n
1E36	Ḷ	004C	L	n
1E36	Ḷ	0323		n
1E37	ḷ	1E36	Ḷ	n
